rollout/ep_len_mean,rollout/exploration_rate,rollout/ep_rew_mean,time/episodes,time/time_elapsed,time/total_timesteps,time/fps,eval/mean_ep_length,eval/mean_reward
30.53,0.0,1.75,788,232,23402,100,,
29.94,0.0,1.7,792,233,23492,100,,
30.54,0.0,1.76,796,234,23635,100,,
30.58,0.0,1.78,800,235,23721,100,,
30.03,0.0,1.71,804,236,23792,100,,
29.65,0.0,1.63,808,236,23881,100,,
29.41,0.0,1.57,812,237,23935,100,,
29.08,0.0,1.62,816,238,24042,100,,
28.33,0.0,1.56,820,238,24101,100,,
29.02,0.0,1.68,824,240,24260,100,,
29.42,0.0,1.74,828,241,24392,101,,
29.2,0.0,1.72,832,242,24469,101,,
29.25,0.0,1.73,836,242,24555,101,,
29.93,0.0,1.81,840,244,24720,100,,
28.79,0.0,1.69,844,245,24814,100,,
28.75,0.0,1.69,848,247,24889,100,,
28.36,0.0,1.71,852,248,24990,100,,
,0.0,,,,25000,,23.25,0.5
27.74,0.0,1.69,856,249,25065,100,,
26.49,0.0,1.59,860,250,25161,100,,
25.38,0.0,1.5,864,251,25230,100,,
25.25,0.0,1.5,868,251,25307,100,,
26.83,0.0,1.64,872,254,25577,100,,
26.53,0.0,1.66,876,254,25662,100,,
27.9,0.0,1.82,880,256,25897,100,,
27.67,0.0,1.82,884,257,25985,100,,
26.8,0.0,1.79,888,258,26082,100,,
27.97,0.0,1.89,892,261,26289,100,,
27.21,0.0,1.81,896,262,26356,100,,
26.93,0.0,1.78,900,262,26414,100,,
27.09,0.0,1.78,904,263,26501,100,,
27.37,0.0,1.87,908,264,26618,100,,
28.13,0.0,1.99,912,265,26748,100,,
27.94,0.0,1.9,916,266,26836,100,,
27.99,0.0,1.92,920,267,26900,100,,
27.38,0.0,1.78,924,268,26998,100,,
28.21,0.0,1.86,928,269,27213,100,,
28.78,0.0,1.9,932,271,27347,100,,
29.16,0.0,1.95,936,272,27471,100,,
28.51,0.0,1.87,940,273,27571,100,,
28.87,0.0,1.89,944,274,27701,100,,
29.64,0.0,1.96,948,276,27853,100,,
29.83,0.0,1.94,952,277,27973,100,,
30.39,0.0,1.99,956,279,28104,100,,
31.04,0.0,2.03,960,280,28265,100,,
31.74,0.0,2.1,964,281,28404,100,,
32.04,0.0,2.13,968,282,28511,100,,
30.61,0.0,2.01,972,283,28638,100,,
31.5,0.0,2.07,976,285,28812,101,,
30.13,0.0,1.94,980,286,28910,101,,
30.65,0.0,2.0,984,287,29050,101,,
30.51,0.0,1.96,988,288,29133,101,,
29.45,0.0,1.86,992,289,29234,100,,
29.99,0.0,1.93,996,291,29355,100,,
31.12,0.0,2.03,1000,292,29526,100,,
31.19,0.0,2.07,1004,293,29620,100,,
31.41,0.0,2.04,1008,294,29759,100,,
31.24,0.0,2.02,1012,295,29872,100,,
31.18,0.0,2.04,1016,296,29954,101,,
31.64,0.0,2.08,1020,297,30064,100,,
31.97,0.0,2.14,1024,299,30195,100,,
31.36,0.0,2.09,1028,300,30349,101,,
32.24,0.0,2.22,1032,302,30571,101,,
32.84,0.0,2.26,1036,305,30755,100,,
32.74,0.0,2.23,1040,306,30845,100,,
32.11,0.0,2.19,1044,307,30912,100,,
31.41,0.0,2.1,1048,308,30994,100,,
31.08,0.0,2.08,1052,308,31081,100,,
30.68,0.0,2.02,1056,309,31172,100,,
29.79,0.0,1.96,1060,310,31244,100,,
29.49,0.0,1.92,1064,311,31353,100,,
29.43,0.0,1.9,1068,312,31454,100,,
28.82,0.0,1.81,1072,312,31520,100,,
27.98,0.0,1.72,1076,313,31610,100,,
27.99,0.0,1.73,1080,314,31709,100,,
28.22,0.0,1.75,1084,315,31872,100,,
29.16,0.0,1.83,1088,317,32049,100,,
28.96,0.0,1.81,1092,318,32130,100,,
28.65,0.0,1.77,1096,319,32220,100,,
27.64,0.0,1.68,1100,320,32290,100,,
27.69,0.0,1.65,1104,321,32389,100,,
27.33,0.0,1.63,1108,322,32492,100,,
27.2,0.0,1.61,1112,323,32592,100,,
27.44,0.0,1.64,1116,324,32698,100,,
27.43,0.0,1.65,1120,325,32807,100,,
26.91,0.0,1.58,1124,326,32886,100,,
26.62,0.0,1.52,1128,327,33011,100,,
25.58,0.0,1.38,1132,328,33129,100,,
24.72,0.0,1.31,1136,329,33227,100,,
24.73,0.0,1.31,1140,329,33318,100,,
25.36,0.0,1.34,1144,330,33448,101,,
25.45,0.0,1.36,1148,331,33539,101,,
25.09,0.0,1.31,1152,332,33590,100,,
25.03,0.0,1.33,1156,333,33675,100,,
24.86,0.0,1.3,1160,334,33730,100,,
24.6,0.0,1.29,1164,335,33813,100,,
24.75,0.0,1.3,1168,336,33929,100,,
25.03,0.0,1.35,1172,337,34023,100,,
24.89,0.0,1.35,1176,338,34099,100,,
24.94,0.0,1.34,1180,339,34203,100,,
24.96,0.0,1.32,1184,340,34368,100,,
24.76,0.0,1.28,1188,341,34525,100,,
24.82,0.0,1.29,1192,342,34612,101,,
25.31,0.0,1.32,1196,343,34751,101,,
25.79,0.0,1.39,1200,345,34869,101,,
25.88,0.0,1.43,1204,346,34977,100,,
26.22,0.0,1.46,1208,348,35114,100,,
26.29,0.0,1.45,1212,349,35221,100,,
25.92,0.0,1.41,1216,350,35290,100,,
25.67,0.0,1.38,1220,351,35374,100,,
25.62,0.0,1.37,1224,351,35448,100,,
25.71,0.0,1.43,1228,353,35582,100,,
25.41,0.0,1.4,1232,354,35670,100,,
25.33,0.0,1.4,1236,354,35760,100,,
25.42,0.0,1.43,1240,355,35860,100,,
25.5,0.0,1.48,1244,356,35998,100,,
26.24,0.0,1.62,1248,358,36163,100,,
26.62,0.0,1.68,1252,359,36252,100,,
26.73,0.0,1.66,1256,359,36348,100,,
27.1,0.0,1.68,1260,360,36440,100,,
27.2,0.0,1.7,1264,362,36533,100,,
26.76,0.0,1.66,1268,363,36605,100,,
26.67,0.0,1.65,1272,364,36690,100,,
26.82,0.0,1.65,1276,365,36781,100,,
27.0,0.0,1.66,1280,366,36903,100,,
26.29,0.0,1.58,1284,367,36997,100,,
25.79,0.0,1.58,1288,368,37104,100,,
26.41,0.0,1.63,1292,369,37253,100,,
26.0,0.0,1.61,1296,370,37351,100,,
25.63,0.0,1.57,1300,370,37432,100,,
25.76,0.0,1.55,1304,372,37553,100,,
25.58,0.0,1.54,1308,373,37672,100,,
25.04,0.0,1.47,1312,373,37725,100,,
