time/episodes,time/fps,rollout/exploration_rate,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
700,108,0.0,329,35894,57.19,2.87,,
704,109,0.0,331,36132,57.87,2.94,,
708,109,0.0,332,36247,57.06,2.88,,
712,109,0.0,333,36353,55.57,2.82,,
716,109,0.0,334,36454,52.43,2.65,,
720,108,0.0,335,36590,50.06,2.49,,
724,108,0.0,337,36745,49.49,2.45,,
728,108,0.0,339,36916,49.27,2.45,,
732,108,0.0,340,37043,48.71,2.41,,
736,108,0.0,341,37212,48.21,2.41,,
740,108,0.0,342,37301,47.63,2.38,,
744,108,0.0,343,37450,47.69,2.41,,
748,108,0.0,345,37595,46.16,2.32,,
752,108,0.0,345,37692,45.43,2.32,,
756,108,0.0,346,37778,44.35,2.22,,
760,109,0.0,348,37955,43.21,2.18,,
764,109,0.0,349,38075,42.96,2.16,,
768,108,0.0,350,38212,42.07,2.1,,
772,108,0.0,352,38360,39.55,2.0,,
776,108,0.0,354,38579,39.79,2.02,,
780,108,0.0,355,38705,38.36,1.94,,
784,108,0.0,356,38784,37.64,1.91,,
788,108,0.0,357,38892,35.45,1.76,,
792,108,0.0,358,38988,34.99,1.75,,
796,108,0.0,359,39158,34.67,1.72,,
800,108,0.0,360,39232,33.38,1.67,,
804,108,0.0,360,39304,31.72,1.54,,
808,108,0.0,361,39443,31.96,1.56,,
812,108,0.0,362,39537,31.84,1.54,,
816,108,0.0,363,39613,31.59,1.54,,
820,108,0.0,365,39838,32.48,1.58,,
824,108,0.0,367,39936,31.91,1.57,,
828,108,0.0,369,40119,32.03,1.55,,
832,108,0.0,370,40280,32.37,1.56,,
836,108,0.0,371,40404,31.92,1.53,,
840,108,0.0,372,40543,32.42,1.57,,
844,108,0.0,374,40713,32.63,1.55,,
848,108,0.0,375,40894,32.99,1.58,,
852,108,0.0,376,40995,33.03,1.56,,
856,108,0.0,378,41133,33.55,1.59,,
860,108,0.0,378,41209,32.54,1.53,,
864,108,0.0,381,41421,33.46,1.62,,
868,108,0.0,383,41581,33.69,1.63,,
872,108,0.0,385,41780,34.2,1.67,,
876,108,0.0,385,41863,32.84,1.63,,
880,108,0.0,387,42012,33.07,1.67,,
884,108,0.0,388,42250,34.66,1.77,,
888,108,0.0,390,42395,35.03,1.8,,
892,108,0.0,392,42697,37.09,1.9,,
896,108,0.0,393,42782,36.24,1.86,,
900,108,0.0,395,42941,37.09,1.88,,
904,108,0.0,396,43022,37.18,1.88,,
908,108,0.0,397,43117,36.74,1.85,,
912,108,0.0,398,43190,36.53,1.83,,
916,108,0.0,399,43357,37.44,1.88,,
920,108,0.0,400,43431,35.93,1.78,,
924,108,0.0,401,43539,36.03,1.76,,
928,108,0.0,401,43620,35.01,1.72,,
932,108,0.0,403,43813,35.33,1.75,,
936,108,0.0,404,43949,35.45,1.73,,
940,108,0.0,405,44029,34.86,1.69,,
944,108,0.0,405,44106,33.93,1.63,,
948,108,0.0,406,44188,32.94,1.57,,
952,108,0.0,407,44338,33.43,1.58,,
956,108,0.0,408,44418,32.85,1.54,,
960,108,0.0,410,44515,33.06,1.52,,
964,108,0.0,410,44565,31.44,1.38,,
968,108,0.0,411,44614,30.33,1.3,,
972,108,0.0,412,44708,29.28,1.23,,
976,108,0.0,413,44802,29.39,1.22,,
980,108,0.0,414,44907,28.95,1.18,,
984,108,0.0,415,44983,27.33,1.07,,
988,108,0.0,416,45106,27.11,1.05,,
992,108,0.0,417,45272,25.75,0.98,,
996,108,0.0,418,45322,25.4,0.94,,
1000,108,0.0,418,45405,24.64,0.9,,
1004,108,0.0,420,45636,26.14,1.0,,
1008,108,0.0,422,45843,27.26,1.05,,
1012,108,0.0,423,45982,27.92,1.11,,
1016,108,0.0,424,46076,27.19,1.07,,
1020,108,0.0,427,46256,28.25,1.14,,
1024,108,0.0,429,46514,29.75,1.25,,
1028,108,0.0,430,46632,30.12,1.28,,
1032,108,0.0,431,46738,29.25,1.23,,
1036,108,0.0,432,46833,28.84,1.21,,
1040,108,0.0,433,46985,29.56,1.23,,
1044,108,0.0,434,47126,30.2,1.27,,
1048,108,0.0,435,47221,30.33,1.27,,
1052,108,0.0,436,47351,30.13,1.28,,
1056,108,0.0,438,47553,31.35,1.36,,
1060,108,0.0,439,47630,31.15,1.36,,
1064,108,0.0,441,47836,32.71,1.47,,
1068,108,0.0,443,47964,33.5,1.51,,
1072,108,0.0,444,48094,33.86,1.54,,
1076,108,0.0,445,48187,33.85,1.54,,
1080,108,0.0,445,48268,33.61,1.54,,
1084,108,0.0,446,48340,33.57,1.54,,
1088,108,0.0,447,48418,33.12,1.51,,
1092,108,0.0,448,48585,33.13,1.52,,
1096,108,0.0,449,48657,33.35,1.53,,
1100,108,0.0,450,48749,33.44,1.55,,
1104,108,0.0,451,48866,32.3,1.49,,
1108,108,0.0,452,49018,31.75,1.48,,
1112,108,0.0,452,49093,31.11,1.41,,
1116,108,0.0,455,49315,32.39,1.48,,
1120,108,0.0,456,49416,31.6,1.43,,
1124,108,0.0,458,49540,30.26,1.34,,
1128,108,0.0,458,49591,29.59,1.29,,
1132,108,0.0,459,49670,29.32,1.27,,
1136,108,0.0,460,49740,29.07,1.26,,
